IRDye™ 800 in PBS,,IRDye800CW emis corr.,,,,,,
Wavelength (nm),Absorption AU,wavelength,signal,,,,,
200,-0.0038,782,2353210,,,,,
201,0.0053,783,2449720,,,,,
202,0.0043,784,2525220,,,,,
203,0.0071,785,2619930,,,,,
204,0.0077,786,2687720,,,,,
205,0.0088,787,2753260,,,,,
206,0.0091,788,2814330,,,,,
207,0.0093,789,2844890,,,,,
208,0.0094,790,2885770,,,,,
209,0.0092,791,2904400,,,,,
210,0.0091,792,2924130,,,,,
211,0.0088,793,2918660,,,,,
212,0.0086,794,2912980,,,,,
213,0.0084,795,2881970,,,,,
214,0.0081,796,2850850,,,,,
215,0.0078,797,2805000,,,,,
216,0.0075,798,2761570,,,,,
217,0.0073,799,2698230,,,,,
218,0.0071,800,2648740,,,,,
219,0.0072,801,2567910,,,,,
220,0.0070,802,2498760,,,,,
221,0.0071,803,2409860,,,,,
222,0.0071,804,2345440,,,,,
223,0.0071,805,2245750,,,,,
224,0.0072,806,2170370,,,,,
225,0.0072,807,2064170,,,,,
226,0.0074,808,1991220,,,,,
227,0.0074,809,1894510,,,,,
228,0.0075,810,1812760,,,,,
229,0.0077,811,1726840,,,,,
230,0.0077,812,1653630,,,,,
231,0.0076,813,1565780,,,,,
232,0.0075,814,1498400,,,,,
233,0.0076,815,1419220,,,,,
234,0.0074,816,1353360,,,,,
235,0.0073,817,1279600,,,,,
236,0.0071,818,1221860,,,,,
237,0.0070,819,1152940,,,,,
238,0.0068,820,1090400,,,,,
239,0.0064,821,1041290,,,,,
240,0.0062,822,1000700,,,,,
241,0.0060,823,941759,,,,,
242,0.0059,824,894320,,,,,
243,0.0058,825,848930,,,,,
244,0.0056,826,808485,,,,,
245,0.0056,827,762121,,,,,
246,0.0054,828,726667,,,,,
247,0.0055,829,686662,,,,,
248,0.0055,830,648218,,,,,
249,0.0055,831,617796,,,,,
250,0.0054,832,591920,,,,,
251,0.0054,833,560073,,,,,
252,0.0055,834,539652,,,,,
253,0.0052,835,499819,,,,,
254,0.0050,836,483298,,,,,
255,0.0047,837,451208,,,,,
256,0.0044,838,422572,,,,,
257,0.0042,839,394908,,,,,
258,0.0039,840,373417,,,,,
259,0.0037,841,349468,,,,,
260,0.0034,842,332909,,,,,
261,0.0035,843,311405,,,,,
262,0.0032,844,289830,,,,,
263,0.0031,845,273799,,,,,
264,0.0032,846,253283,,,,,
265,0.0031,847,233391,,,,,
266,0.0030,848,215911,,,,,
267,0.0029,849,200111,,,,,
268,0.0030,850,189186,,,,,
269,0.0028,851,172978,,,,,
270,0.0029,852,162298,,,,,
271,0.0029,853,146843,,,,,
272,0.0028,854,135248,,,,,
273,0.0029,855,126864,,,,,
274,0.0028,856,116820,,,,,
275,0.0029,857,109863,,,,,
276,0.0029,858,101295,,,,,
277,0.0030,859,93805,,,,,
278,0.0030,860,87803,,,,,
279,0.0029,861,79727,,,,,
280,0.0030,862,77125,,,,,
281,0.0030,863,69538,,,,,
282,0.0032,864,65790,,,,,
283,0.0029,865,61760,,,,,
284,0.0032,866,58804,,,,,
285,0.0029,867,57393,,,,,
286,0.0033,868,55149,,,,,
287,0.0033,869,52191,,,,,
288,0.0032,870,48912,,,,,
289,0.0034,871,46586,,,,,
290,0.0032,872,47078,,,,,
291,0.0033,873,45061,,,,,
292,0.0032,874,43034,,,,,
293,0.0034,875,43773,,,,,
294,0.0038,876,43461,,,,,
295,0.0034,877,42252,,,,,
296,0.0034,878,41897,,,,,
297,0.0034,879,42327,,,,,
298,0.0034,880,41197,,,,,
299,0.0033,881,42081,,,,,
300,0.0032,882,42985,,,,,
301,0.0036,883,40906,,,,,
302,0.0033,884,41276,,,,,
303,0.0033,885,40834,,,,,
304,0.0031,886,43310,,,,,
305,0.0033,887,42443,,,,,
306,0.0029,888,42723,,,,,
307,0.0030,889,42836,,,,,
308,0.0032,890,41299,,,,,
309,0.0028,891,42473,,,,,
310,0.0028,892,40156,,,,,
311,0.0027,893,39657,,,,,
312,0.0027,894,38953,,,,,
313,0.0026,895,37408,,,,,
314,0.0026,896,36457,,,,,
315,0.0025,897,37072,,,,,
316,0.0024,898,36343,,,,,
317,0.0024,899,34808,,,,,
318,0.0023,900,34394,,,,,
319,0.0025,,,,,,,
320,0.0023,,,,,,,
321,0.0025,,,,,,,
322,0.0024,,,,,,,
323,0.0022,,,,,,,
324,0.0023,,,,,,,
325,0.0023,,,,,,,
326,0.0025,,,,,,,
327,0.0023,,,,,,,
328,0.0026,,,,,,,
329,0.0022,,,,,,,
330,0.0022,,,,,,,
331,0.0025,,,,,,,
332,0.0022,,,,,,,
333,0.0023,,,,,,,
334,0.0021,,,,,,,
335,0.0024,,,,,,,
336,0.0021,,,,,,,
337,0.0021,,,,,,,
338,0.0023,,,,,,,
339,0.0019,,,,,,,
340,0.0023,,,,,,,
341,0.0023,,,,,,,
342,0.0023,,,,,,,
343,0.0024,,,,,,,
344,0.0024,,,,,,,
345,0.0024,,,,,,,
346,0.0024,,,,,,,
347,0.0026,,,,,,,
348,0.0025,,,,,,,
349,0.0028,,,,,,,
350,0.0026,,,,,,,
351,0.0029,,,,,,,
352,0.0026,,,,,,,
353,0.0028,,,,,,,
354,0.0030,,,,,,,
355,0.0029,,,,,,,
356,0.0030,,,,,,,
357,0.0025,,,,,,,
358,0.0029,,,,,,,
359,0.0031,,,,,,,
360,0.0032,,,,,,,
361,0.0033,,,,,,,
362,0.0030,,,,,,,
363,0.0037,,,,,,,
364,0.0032,,,,,,,
365,0.0034,,,,,,,
366,0.0036,,,,,,,
367,0.0037,,,,,,,
368,0.0036,,,,,,,
369,0.0034,,,,,,,
370,0.0038,,,,,,,
371,0.0033,,,,,,,
372,0.0033,,,,,,,
373,0.0036,,,,,,,
374,0.0037,,,,,,,
375,0.0034,,,,,,,
376,0.0037,,,,,,,
377,0.0038,,,,,,,
378,0.0039,,,,,,,
379,0.0042,,,,,,,
380,0.0039,,,,,,,
381,0.0040,,,,,,,
382,0.0039,,,,,,,
383,0.0042,,,,,,,
384,0.0036,,,,,,,
385,0.0038,,,,,,,
386,0.0042,,,,,,,
387,0.0032,,,,,,,
388,0.0034,,,,,,,
389,0.0033,,,,,,,
390,0.0033,,,,,,,
391,0.0028,,,,,,,
392,0.0030,,,,,,,
393,0.0025,,,,,,,
394,0.0026,,,,,,,
395,0.0025,,,,,,,
396,0.0026,,,,,,,
397,0.0028,,,,,,,
398,0.0021,,,,,,,
399,0.0024,,,,,,,
400,0.0024,,,,,,,
401,0.0024,,,,,,,
402,0.0024,,,,,,,
403,0.0023,,,,,,,
404,0.0022,,,,,,,
405,0.0022,,,,,,,
406,0.0026,,,,,,,
407,0.0020,,,,,,,
408,0.0025,,,,,,,
409,0.0023,,,,,,,
410,0.0023,,,,,,,
411,0.0025,,,,,,,
412,0.0023,,,,,,,
413,0.0023,,,,,,,
414,0.0026,,,,,,,
415,0.0025,,,,,,,
416,0.0020,,,,,,,
417,0.0026,,,,,,,
418,0.0024,,,,,,,
419,0.0023,,,,,,,
420,0.0023,,,,,,,
421,0.0022,,,,,,,
422,0.0027,,,,,,,
423,0.0022,,,,,,,
424,0.0026,,,,,,,
425,0.0022,,,,,,,
426,0.0023,,,,,,,
427,0.0025,,,,,,,
428,0.0025,,,,,,,
429,0.0025,,,,,,,
430,0.0025,,,,,,,
431,0.0027,,,,,,,
432,0.0023,,,,,,,
433,0.0025,,,,,,,
434,0.0024,,,,,,,
435,0.0023,,,,,,,
436,0.0024,,,,,,,
437,0.0024,,,,,,,
438,0.0020,,,,,,,
439,0.0021,,,,,,,
440,0.0025,,,,,,,
441,0.0021,,,,,,,
442,0.0023,,,,,,,
